,Tickers
1328,0K0X.L
1329,SFBQF
1330,PHM7D.XC
1331,JLEN.L
1332,UNCRY
1333,ITOCY
1334,0M18.L
1335,BRSCL.XC
1336,ENELM.XC
1337,ITOCF
1338,2PPD.XC
1339,SNOW
1340,0HL1.IL
1341,MCK
1342,BGFDL.XC
1343,CASTS.XC
1344,SLBP.XC
1345,ZURNZ.XC
1346,BGFD.L
1347,USB
1348,0NRE.IL
1349,STLA
1350,0K8M.L
1351,TGT
1352,EOG
1353,JEDT.L
1354,LDNXF
1355,0QZX.L
1356,0IVW.L
1357,0IDR.L
1358,JLENL.XC
1359,NTDOF
1360,SAN
1361,0HB4.IL
1362,CMG
1363,0A0H.IL
1364,0QP2.IL
1365,BCDRF
1366,LNSTY
1367,0R19.L
1368,0HXW.L
1369,0O0V.IL
1370,ESCT.L
1371,NTDOY
1372,KLR.L
1373,SOBKY
1374,KLRL.XC
1375,TEAM
1376,EWI.L
1377,EWIL.XC
1378,SWGAY
1379,SMMNY
1380,ITUB
1381,0O0U.IL
1382,JDG.L
1383,DSYP.XC
1384,BN
1385,AMXOF
1386,SEMHF
1387,0QI7.IL
1388,FDX
1389,0QXR.IL
1390,0H68.L
1391,DBSDF
1392,CHGCY
1393,OLCLY
1394,0P6O.IL
1395,VWAPY
1396,0S23.L
1397,WPS.L
1398,GLNCY
1399,GLCNF
1400,BMWD.XC
1401,DUK-PA
1402,WPSL.XC
1403,0AA9.IL
1404,AON
1405,VLKPF
1406,VLKAF
1407,DBSDY
1408,BMO
1409,0QE6.IL
1410,CTA-PB
1411,GCP.L
1412,MITSY
1413,RACE
1414,ORLY
1415,BAG.L
1416,CCRL.XC
1417,MITSF
1418,0HT4.L
1419,UPR.L
1420,CTAS
1421,0JVT.L
1422,BAGL.XC
1423,GCPL.XC
1424,PH
1425,0LBF.IL
1426,LTODL.XC
1427,LULU
1428,0GZV.IL
1429,MRVL
1430,0AAS.IL
1431,0KFZ.L
1432,STLAMM.XC
1433,PZC.L
1434,0JH3.L
1435,0A0J.IL
1436,0Z4I.L
1437,PEYS.L
1438,NETTF
1439,AAKS.XC
1440,SOIL.XC
1441,JSG.L
1442,PNC
1443,HSL.L
1444,HSLL.XC
1445,0R6R.IL
1446,SOI.L
1447,MMM
1448,FSFLL.XC
1449,TYMNL.XC
1450,PZCL.XC
1451,TYMN.L
1452,FSFL.L
1453,SHED.L
1454,SHEDL.XC
1455,0K6G.IL
1456,VALE
1457,TDG
1458,SHLD.XC
1459,GRID.L
1460,0OAL.L
1461,SANE.XC
1462,MURGY
1463,0R33.L
1464,DPSTF
1465,NTES
1466,EPD
1467,ROP
1468,MNST
1469,MPC
1470,IBSTL.XC
1471,APH
1472,LTOD.IL
1473,IBST.L
1474,DSKYF
1475,NABZY
1476,IPOL.XC
1477,MURGF
1478,GRIDL.XC
1479,IPO.L
1480,APD
1481,THRG.L
1482,0KHZ.L
1483,ESP.L
1484,THRGL.XC
1485,NESF.L
1486,KIE.L
1487,ANCTF
1488,PSBKF
1489,0HBH.L
1490,DSNKY
1491,DELL
1492,TT
1493,0I6K.L
1494,DHLGY
1495,ECL
1496,RTLLF
1497,NESFL.XC
1498,0IFA.L
1499,AMX
1500,0LMP.L
1501,CORD.L
1502,HINKF
1503,0J6Z.L
1504,CNSWF
1505,AXFOS.XC
1506,KIEL.XC
1507,VOW3D.XC
1508,PSX
1509,CURYL.XC
1510,0REK.L
1511,FSUMF
1512,BAKK.L
1513,CORDL.XC
1514,0KXM.L
1515,0RDT.IL
1516,MOONL.XC
1517,MOON.L
1518,YNGA.L
1519,BNS
1520,PSTVY
1521,VLX.L
1522,FSUGY
1523,CURY.L
1524,NXPI
1525,BAKKL.XC
1526,BKRKY
1527,0V5H.L
1528,0R03.L
1529,NAUBF
1530,0L4T.L
1531,FEML.L
1532,APO
1533,BRGEL.XC
1534,CHTR
1535,BRGE.L
1536,0JLK.L
1537,0JGN.L
